lat,lng,name
40.727620196158895,-73.98593745635007,East Village
40.76417545811497,-73.99239728650188,Clinton
40.7368244444807,-73.9840512658771,Gramercy
40.827012664612816,-73.94852170078208,Hamilton Heights
40.715608149935065,-73.99462532038095,Chinatown
40.73181253787885,-73.97658275860783,Stuyvesant Town-Cooper Village
40.7080032227191,-74.01023364964635,Battery Park City-Lower Manhattan
40.8571078738623,-73.93283150260774,Washington Heights North
40.77731640220039,-73.94870633175583,Yorkville
40.75573413452257,-73.98350299076186,Midtown-Midtown South
40.754307796910986,-73.96901779312986,Turtle Bay-East Midtown
40.74421162063027,-73.97750013247823,Murray Hill-Kips Bay
40.77472987838569,-73.96117407280617,Upper East Side-Carnegie Hill
40.76495878595672,-73.95509379112184,Lenox Hill-Roosevelt Island
40.818257507542576,-73.9407713850072,Central Harlem North-Polo Grounds
40.71784111240852,-73.98091187448428,Lower East Side
40.79001127829583,-73.94575114141595,East Harlem South
40.790380459631535,-73.97390725421877,Upper West Side
40.774847117314735,-73.98469891548095,Lincoln Square
40.841708636815206,-73.94139904672049,Washington Heights South
40.72076691531017,-74.00467766020832,SoHo-TriBeCa-Civic Center-Little Italy
40.747581750846514,-73.99900969819053,Hudson Yards-Chelsea-Flatiron-Union Square
40.73305487088471,-74.0015619680933,West Village
40.81797554943096,-73.95378198268423,Manhattanville
40.8078861144313,-73.96254299581005,Morningside Heights
40.804332327421456,-73.95129185022525,Central Harlem South
40.80116825405764,-73.93734595203149,East Harlem North
40.867907448889426,-73.91765277755401,Marble Hill-Inwood
40.78799786706449,-73.95477229121778,park-cemetery-etc-Manhattan
