lat,lng,name
40.62092404878244,-73.95682460575402,Midwood
40.691507495113,-73.94990503493518,Bedford
40.63094965541444,-73.9886612307007,Borough Park
40.65236480408546,-73.92225097385976,Rugby-Remsen Village
40.60491359569284,-73.9481355946941,Madison
40.60427283999317,-74.0074881579591,Bath Beach
40.614589293793856,-73.91527900846177,Georgetown-Marine Park-Bergen Beach-Mill Basin
40.63803713913219,-73.89973495664006,Canarsie
40.626272763540534,-73.93009701191806,Flatlands
40.700521619731205,-73.91770947875543,Bushwick North
40.66653910235351,-73.94878508560276,Crown Heights South
40.69078706347849,-73.97488238611116,Fort Greene
40.695473073098036,-73.99486403616484,Brooklyn Heights-Cobble Hill
40.6776388451298,-73.9675852482116,Prospect Heights
40.66400311800331,-73.91025783439245,Brownsville
40.66655893753239,-73.89536412011722,East New York (Pennsylvania Ave)
40.64059016020933,-73.97619903002457,Kensington-Ocean Parkway
40.64611641923954,-73.9516233810864,Erasmus
40.64188636630927,-74.00465205283199,Sunset Park East
40.68217642520081,-73.87832945769364,Cypress Hills-City Line
40.72950397564552,-73.94952548071672,Greenpoint
40.61221825817429,-73.9952585796554,Bensonhurst West
40.64394739771284,-73.93793156981458,East Flatbush-Farragut
40.71536970941088,-73.93679117811624,East Williamsburg
40.580921967749234,-73.96121677972576,Brighton Beach
40.687966821717936,-73.96236332909533,Clinton Hill
40.70391648950929,-73.95859676657518,Williamsburg
40.59995428656816,-73.96433366875836,Homecrest
40.61731492860537,-73.97032579838573,Ocean Parkway South
40.660934432559245,-73.87682075358846,East New York
40.64752703356424,-73.88241292688409,Starrett City
40.57648005006385,-73.99123080947543,Seagate-Coney Island
40.579088866838816,-73.9733904261459,West Brighton
40.71491647054814,-73.95862574826342,North Side-South Side
40.67446941418383,-73.93928707548797,Crown Heights North
40.65361200295123,-73.97798273271513,Windsor Terrace
40.62243802131023,-74.01209321915296,Dyker Heights
40.658744623390845,-73.94744178409962,Prospect Lefferts Gardens-Wingate
40.624835007023684,-74.02989212148333,Bay Ridge
40.652354690078944,-74.01127113379151,Sunset Park West
40.58840343906215,-73.98143115173951,Gravesend
40.60142940832365,-73.98353708697995,Bensonhurst East
40.588299587091974,-73.9415114420093,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
40.63790037879248,-73.96096847066693,Flatbush
40.62303112932022,-73.9124516869523,park-cemetery-etc-Brooklyn
40.67664231492293,-73.91364405290388,Ocean Hill
40.6881682028963,-73.93188832709839,Stuyvesant Heights
40.69645426556626,-73.92510342596815,Bushwick South
40.67122241308819,-73.98390793314972,Park Slope-Gowanus
40.678778678096556,-74.00389765818714,Carroll Gardens-Columbia Street-Red Hook
40.69292175431655,-73.98598925563303,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
